What is the definition of a stack as a linear data structure?,"It is a structure where insertion and deletion of elements occur only at one end, called 'Top'."
Which principle does a stack follow regarding the order of element removal?,LIFO (Last In First Out).
What does the 'LIFO' principle mean in the context of a stack?,The element inserted last is the first one to be removed.
Which operation is used to add an element to a stack?,The push operation.
Which operation is used to remove an element from a stack?,The pop operation.
Provide a real-life example of a stack data structure.,"A stack of plates, where plates are added to and removed from the top."
Concept: Stack as an ADT,Definition: A logical model that defines what operations can be performed on a stack without specifying how they are implemented.
Does a stack as an ADT focus on the implementation details or the behavior of operations?,It focuses on the behavior (operations).
"In a stack ADT, what is the purpose of the $top()$ operation?",It returns the top element without removing it.
"In a stack ADT, what does the $isEmpty()$ operation return?",It returns true if the stack contains no elements.
"In a stack ADT, what does the $isFull()$ operation return?",It returns true if the stack has reached its maximum capacity.
What is meant by 'Restricted access' in the characteristics of a stack?,Elements cannot be accessed randomly; only the top element is accessible.
The condition occurring when there is no space to add a new element onto the stack is called _____.,Overflow
The condition occurring when there are no elements to remove from a stack is called _____.,Underflow
How are elements stored in memory when a stack is implemented using an array?,They are stored in contiguous memory locations.
"In an array-based stack implementation, what variable tracks the position of the top element?",The variable 'Top'.
What is the standard initial value of the 'Top' variable for an empty array-based stack?,$-1$
Formula: Push logic for 'Top',Step: $Top = Top + 1$
Formula: Pop logic for 'Top',Step: $Top = Top - 1$
Why is an array-based stack considered memory efficient regarding pointers?,It does not require extra memory for pointers like a linked list implementation.
How does contiguous memory storage affect the performance of an array-based stack?,It leads to better performance because accessing data in contiguous locations is faster.
What is a major limitation of implementing a stack with a standard array?,The size of the array is fixed at the beginning and cannot be changed later.
When does 'memory wastage' occur in an array-based stack?,It occurs when the array size is large but only a few elements are stored.
Concept: Expression,Definition: A group of values (operands) and operators that produces a result after calculation.
"In a mathematical expression, what are 'operands'?","They are the values or variables being operated upon, such as $5$, $A$, or $X$."
"In the operator priority table, which element has the highest priority?",Parentheses $()$.
Which mathematical operator has the second-highest priority according to the priority table?,Exponent $^$.
Which three operators share the third level of priority?,"Multiplication ($*$), division ($/$), and modulus ($\%$)."
Which two operators have the lowest priority in the priority table?,Addition ($+$) and subtraction ($-$).
What defines an 'Infix' expression?,The operator is written between the operands.
What is the alternate name for a 'Prefix' expression?,Polish Notation.
In which direction is a Prefix expression evaluated?,From right to left.
What is the alternate name for a 'Postfix' expression?,Reverse Polish Notation.
In which direction is a Postfix expression evaluated?,From left to right.
"During Infix to Postfix conversion, what is the action when an operand is scanned?",It is directly added to the output.
"During Infix to Postfix conversion, what happens when a '(' is encountered?",It is pushed onto the stack.
"During Infix to Postfix conversion, what is the action when a ')' is encountered?",Elements are popped from the stack and added to the output until a '(' is found.
"In Infix to Postfix conversion, what do you do if the stack has an operator with higher or equal precedence than the scanned operator?",Pop the operator from the stack to the output before pushing the new one.
What is the first step in the algorithm to convert Infix to Prefix?,Reverse the Infix expression.
What is the final step in the algorithm to convert Infix to Prefix?,Reverse the resulting Postfix expression.
"In Postfix evaluation, what action is taken when an operator is encountered?","The top two elements are popped from the stack, the operation is applied, and the result is pushed back."
How is a stack used in 'Function calls'?,"Every time a function is called, its details are pushed onto the stack."
What is 'parenthesis checking' as a stack application?,Using a stack to verify if an expression has balanced parentheses.
Name two types of software applications that use stacks for 'Undo/Redo' operations.,Text editors and image editing software.
"In backtracking algorithms, why is a stack data structure used?",To store states in problems where the algorithm needs to go back to previous steps.
"In an array-based stack, if the 'Top' index is at $2$, how many elements are currently in the stack?",Three elements.
"During Infix to Postfix conversion, what happens to the stack contents once the expression scanning ends?",All remaining operators are popped from the stack and added to the output.
"In the Infix to Prefix algorithm, what happens to the parentheses during the initial reversal step?",The opening and closing parentheses must be swapped (effectively reversed).
Concept: ADT (Abstract Data Type),Definition: A type for objects whose behavior is defined by a set of values and a set of operations.
What is the positional relationship of operators to operands in Prefix notation?,The operator is written before the operands.
What is the positional relationship of operators to operands in Postfix notation?,The operator is written after the operands.
Why is stack considered an efficient structure for 'Top' only operations?,"Because operations happen only at one end, making the structure simple and fast."
Which stack operation is used to check if the data structure is empty before a pop?,$isEmpty()$
Which stack operation is used to check for a possible overflow before a push?,$isFull()$
What is 'Expression Conversion'?,The process of changing an expression from one form (like Infix) into another form (like Postfix).
