What is the etymological meaning of the term 'Polymorphism'?,It is derived from 'poly' (meaning many) and 'morphism' (meaning forms).
How is 'Polymorphism' defined in the context of Object-Oriented Programming?,"The ability of a single function, operator, or object to behave differently based on the context."
Identify four primary benefits of using Polymorphism in programming.,"Increased code flexibility, improved code reusability, easier maintenance/extension, and single-interface usage for different data types."
Polymorphism in C++ is mainly divided into which two categories?,Compile Time Polymorphism and Run Time Polymorphism.
What are two alternative names for Compile Time Polymorphism?,Early binding and static polymorphism.
Which two mechanisms are used to achieve Compile Time Polymorphism?,Function overloading and operator overloading.
How is Run Time Polymorphism implemented in C++?,Through function overriding using virtual functions.
What is the defining characteristic of 'Function Overloading'?,Multiple functions having the same name but different parameters within the same scope.
"In function overloading, parameters can differ in which three ways?","The number of arguments, the type of arguments, or the order of arguments."
True or False: Function overloading can be achieved solely by changing the return type of a function.,False; functions must have different parameter signatures to be overloaded.
What is 'Operator Overloading'?,The process of assigning additional meanings to a C++ operator so it can work with user-defined data types (objects).
What is the general syntax for defining an operator function?,$return\_type\ operator\ op(arg\_list) \{ \dots \}$
Which keyword is essential when defining a function to overload an operator?,The $operator$ keyword.
List four C++ operators that cannot be overloaded.,"Dot operator ($.$), scope resolution ($::$), conditional ($?:$), and $sizeof()$."
What is a 'Unary Operator'?,"An operator that operates on only one operand, such as $++$, $--$, or negation ($-$)."
What is a 'Binary Operator'?,"An operator that works with two operands, such as $+$, $-$, and $*$."
"When overloading a unary operator as a member function, how many arguments are passed to the operator function?",Zero arguments.
How many arguments does a unary operator function require if it is implemented as a $friend$ function?,One argument.
"When overloading a binary operator as a member function, why is only one argument passed?","The left-side object implicitly calls the function, and the right-side object is passed as the argument."
How many arguments are required when overloading a binary operator using a $friend$ function?,Two arguments.
Why is a $friend$ function often used for operator overloading?,It allows the operator function to access the private data members of the class while remaining outside the class scope.
"In the expression $c3 = c1 + c2$ where $c1$ and $c2$ are objects, what does the $+$ sign represent?",It represents a call to an overloaded operator function that defines how two objects are added.
"In C++, which header file is required to perform advanced string operations using operators?",The $<string>$ header.
Which operator is typically overloaded to perform string concatenation (joining two strings)?,The plus ($+$) operator.
What is the purpose of overloading the subscript operator ($[]$) for a string class?,To access individual characters of a string using a zero-based index.
Which operators are used for stream insertion and extraction in C++?,Insertion ($<<$) and extraction ($>>$).
"When using string comparison operators like $<$ or $>$, what logic is used to determine the result?",Dictionary (lexicographical) order.
What are the three main types of type conversions discussed in the material?,"Basic to Class, Class to Basic, and One Class to Another Class."
How is 'Basic to Class' type conversion typically achieved?,By using a constructor that takes the basic type as an argument.
Which mechanism is used to perform 'Class to Basic' data type conversion?,"A casting operator function, specifically $operator\ basic\_type()$."
Why can a constructor NOT be used for Class to Basic conversion?,"Constructors do not have return types and are used to build objects, not extract values from them."
What is a constraint when using 'one class to another class' conversion?,It must be a user-defined conversion that handles data transformation between two different class formats.
Rule: Only _____ operators can be overloaded; you cannot create entirely new operators like $@@$.,existing
"True or False: When overloading an operator, you must ensure at least one operand is a user-defined class object.",True; you cannot overload operators for purely built-in primitive types.
Why is it forbidden to change the 'basic meaning' of an operator during overloading?,"To maintain code readability and prevent confusing logic, such as using $+$ to perform subtraction."
True or False: The syntax (precedence and associativity) of an operator can be changed during overloading.,False; the syntax must remain the same.
"Binary arithmetic operators such as $+$, $-$, and $*$ must return a _____ when overloaded.",value (or new object)
"In a member function overloading a binary operator, which operand must be an object of the relevant class?",The left-hand operand.
"What is the function of $getline(cin, str)$ in a custom string class?","To input a full sentence, including spaces, into a string object."
