What is the definition of a pointer in C++?,A variable that stores the memory address of another variable.
"In C++, what does a 'normal variable' hold compared to a pointer?","A normal variable holds direct values, while a pointer holds a memory location."
What is the syntax for declaring a pointer in C++?,`data_type *pointer_name;`
"In pointer initialization, which operator is used to retrieve the address of a variable?",The 'address-of' operator (`&`).
"If `int a = 10;` and `int *p = &a;`, what is the output of `cout << *p;`?",10
"If `int a = 10;` and `int *p = &a;`, what does `cout << p;` display?",The memory address of variable `a`.
What is Dynamic Memory Management?,The process of allocating and freeing memory at runtime using pointers and operators like `new` and `delete`.
What are the two primary operators used for dynamic memory management in C++?,`new` and `delete`.
Which memory area is used for dynamic memory allocation managed by the programmer?,The Heap.
Which memory area is used for automatic memory managed by the compiler?,The Stack.
What is the specific purpose of the `new` operator in C++?,To allocate memory dynamically from the heap at runtime and return its address.
What is the specific purpose of the `delete` operator in C++?,To free dynamically allocated memory at runtime and prevent memory leaks.
"In the code `int *p = new int;`, where is the variable `p` stored versus the memory it points to?","The pointer `p` is on the stack, while the allocated `int` is on the heap."
Name one advantage of dynamic memory management.,Efficient memory usage and flexibility to allocate memory at runtime.
What is a major disadvantage of improper dynamic memory management?,It may cause memory leaks.
Compare the speed of dynamic memory vs. static memory.,Dynamic memory is slightly slower than static memory.
What is a Linked List?,A way to store a collection of items in a sequence where each item is stored in a node that points to the next one.
What are the two parts of a linked list node?,Data (information being stored) and Next (pointer to the next node).
What does the `Next` pointer of the last node in a standard Singly Linked List point to?,NULL
What is 'Sequential Organization' in the context of data storage?,A structure like an array where elements are stored one after another in a fixed order and accessed by index.
What is 'Linked Organization' in the context of data storage?,"A structure where elements are connected using pointers and are not stored in fixed, contiguous memory."
"In terms of memory storage, how do sequential and linked organizations differ?",Sequential is stored in contiguous memory; Linked is stored in scattered memory.
Contrast the 'Size' attribute between sequential and linked organizations.,Sequential has a fixed size; Linked has a dynamic size.
Contrast the 'Access' method between sequential and linked organizations.,Sequential allows direct access by index; Linked requires sequential access by following links.
Why is deletion considered easy in a linked organization compared to a sequential one?,"In a linked list you only need to update pointers, whereas in an array you must shift other elements."
What is a 'Head' in linked list terminology?,"The first node of the linked list, which is essential for accessing the rest of the list."
What is a 'Tail' in linked list terminology?,"The last node of the linked list, whose pointer usually points to NULL."
What does the term 'Traversal' mean in linked lists?,The process of visiting each node in the list one by one.
